Family,Species,Author,Information,Occurrence,"Common names",Abundance,"Max. Length",Maturity,Remark,Picture
Acanthuridae,"Acanthurus auranticavus","Randall, 1956"," M, Fi",native," Ring-tail surgeon (English)",,"45.00 cm SL male/unsexed ",,"Known from Mentawai Islands (Ref. 27157); west and east part of Indonesia (Ref. 37792). Also recorded from Bali, Maumere Bay, Togean and Banggai Islands (Ref. 47567). Also Ref. 2334.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acaur_u2.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus bariene","Lesson, 1831"," M, Fi",native," Eye-spot surgeon (English)",,"50.00 cm TL male/unsexed ",,"From southwest Sumatra to Bali Strait (Ref. 5978, 47567). Also recorded from Raja Ampat Islands, Maumere Bay and Komodo; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 8631, 37792, 2334.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acbar_u0.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus blochii","Valenciennes, 1835"," M, Fi",native," Dark surgeon (English)",,"45.00 cm SL male/unsexed ",,"Recorded from Raja Ampat Islands, Maumere Bay, Komodo, Manado and vicinity, Sangalakki Island, Togean and Banggai Islands; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 37792, 1921.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acblo_u0.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus chronixis","Randall, 1960"," M",questionable," Botana abu abu (Malay), Mimic surgeonfish (English)",,"28.00 cm TL male/unsexed ",,"Reports from other areas than Caroline Is. and Micornesia are probably misidentifications of the juvenile stages of Acanthurus pyroferus (J.E. Randall, pers. comm.),","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Acchr_f0.gif"", ""Open image"")"
Acanthuridae,"Acanthurus dussumieri","Valenciennes, 1835"," M, Fi",native," Pencilled surgeon (English)",,"54.00 cm TL male/unsexed ",,"From southwest Sumatra to Timor Sea (Ref. 5978, 47567). Also Ref. 27157, 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acdus_u4.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus fowleri","de Beaufort, 1951"," M",native," Horse-shoe surgeon (English)",,"45.00 cm SL male/unsexed ",,"Known from Flores (Ref. 8631, 47567), Mentawai Islands (Ref. 27157), Raja Ampat Islands, Togean and Banggai Islands (Ref. 47567). Also Ref. 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acfow_u2.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus grammoptilus","Richardson, 1843"," M, Fi",native,,,"35.60 cm FL male/unsexed ",,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acgra_u4.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus guttatus","Forster, 1801"," M",native," White-spotted surgeon (English), Botana mutiara (Malay), Mustard surgeonfish (English)",,"26.00 cm TL male/unsexed ",,"Found in west Indonesia (Ref. 37792). Also recorded from Manado and vicinity and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 37792.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acgut_u0.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus japonicus","(Schmidt, 1931)"," M",native," White-nose surgeonfish (English), Botana kacamata (Malay), Powder black surgeon (English)",,"23.00 cm TL male/unsexed ",,"Also Ref. 37792, 9710.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acjap_u5.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus leucocheilus","Herre, 1927"," M",native," White-spine surgeon (English), Malelah (Bajo), Kuu (Palo)",,"45.00 cm SL male/unsexed ",,"Known from Bali (Ref. 8631, 47567); also from Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Maumere Bay, Komodo, Manado and vicinity, Togean and Banggai Islands and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acleu_u0.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus leucosternon","Bennett, 1833"," M, Fi",native," Botana biru (Malay), Powder blue tang (English)",,"54.00 cm TL male/unsexed ",,"Occurs in southwestern Indonesia (Ref. 9710; In range: Ref. 47567); also Mentawai Islands (Ref. 27157) and Bali (Ref. 37792). Also Ref. 37792.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acleu_ui.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus lineatus","(Linnaeus, 1758)"," M, Fi",native," Lined surgeon (English), Botana kasur (Malay), Dodoh igah (Bajo), Clown surgeon (English), Kuu ragi-ragi (Palo)",,"38.00 cm TL male/unsexed ",,"Known from Bali Strait to Timor Sea (Ref. 5978; In range: Ref. 47567); also from Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Manado and vicinity, Sangalakki Island, Togean and Banggai Islands and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Museum: LPPL JIF127 (PAN39). Also Ref. 8631, 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Aclin_ud.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus maculiceps","(Ahl, 1923)"," M, Fi",native," Spot-face surgeon (English)",,"40.00 cm SL male/unsexed ",,"Known from Bali (Ref. 1920, 47567); also from Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Komodo, Togean and Banggai Islands and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 8631, 37792, 1920.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acmac_u5.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus mata","(Cuvier, 1829)"," M, Fi",native," Pale surgeon (English), Buntana (Malay), Lutu-lutu (Bajo), Malelah silah (Bajo)",,"50.00 cm TL male/unsexed ",,"From Bali Strait to Timor Sea (Ref. 5978, 47567); including Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Pulau Weh, Togean and Banggai Islands; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Museum: LPPL JIF128 (TGT907). Also Ref. 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acmat_u5.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus nigricans","(Linnaeus, 1758)"," M",native," Velvet surgeonfish (English), Botana biru palsu (Malay), dodoh tambako (Bajo), Golden rimmed surgeonfish (English), Kuu wuta (Palo)",,"36.00 cm FL male/unsexed ",,"Known from Flores (Ref. 2334, 47567); also from Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Bali, Komodo, Manado and vicinity, Sangalakki Island, Togean and Banggai Islands; with an Indonesian distribution from Papua to Kalimantan (Ref. 47567). Also Ref. 8631, 37792, 2334.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acnig_u0.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus nigricauda","Duncker & Mohr, 1929"," M, Fi",native," Dodoh (Bajo), Kuu wadu (Palo)",,"45.30 cm FL male/unsexed ",,"Known from Bali; also from Java and Sumatra (Ref. 1921, 47567) and from Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Maumere Bay, Sangalakki Island, Togean and Banggai Islands; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 37792.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acnig_um.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus nigrofuscus","(Forsskål, 1775)"," M, Fi",native," Dusky surgeonfish (English)",,"21.00 cm TL male/unsexed ",,"Known from Flores (Ref. 8631, 47567); also from Java and Sumatra (Ref. 1920, 47567) and Mentawai Islands (Ref. 27157). Also recorded from Komodo, Manado and vicinity, Sangalakki Island, Togean and Banggai Islands (Ref. 47567). Also Ref. 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acnig_uq.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus nigroris","Valenciennes, 1835"," M",native,,,"25.00 cm TL male/unsexed ",,"Eastern Indonesia (Ref. 37792). Recorded from Talaud Islands (Ref. 47567).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acnig_uk.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus nubilus","(Fowler & Bean, 1929)"," M",native," Pin-striped surgeon (English)",,"26.00 cm TL male/unsexed ",,"Known from Buka Buka Island in the Gulf of Tomini, Celebes and Dodepo Island, Celebes (Ref. 1920) and Mentawai Islands (Ref. 27157). Also recorded from Maumere Bay; with an Indonesian distribution from Papua to Flores (Ref. 47567). Also Ref. 8631, 37792, 1920.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acnub_u1.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus olivaceus","Bloch & Schneider, 1801"," M, Fi",native," Orange-blotch surgeon (English), Botana coklat (Malay), Dodoh (Bajo), Orange epoulette surgeon (English), Botana kuning (Malay), Kuu tanda meha (Palo)",,"35.00 cm TL male/unsexed ",,"From Bali Strait to Timor Sea. Also recorded from Raja Ampat Islands, Manado and vicinity, Sangalakki Island, Togean and Banggai Islands; with an Indonesian distribution from Papua to Kalimantan (Ref. 47567). Museum: LPPL JIF129 (TGT1361). Also Ref. 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acoli_u8.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus pyroferus","Kittlitz, 1834"," M, Fi",native," Pacific mimic surgeon (English), Botana model (Malay), Chocolate surgeonfish (English)",,"29.00 cm TL male/unsexed ",,"Known from Bali and Flores (Ref. 8631, 47567). Also recorded from Raja Ampat Islands, Komodo, Manado and vicinity, Sangalakki Island, Togean and Banggai Islands; with an Indonesian distribution from Papua to Kalimantan (Ref. 47567). Also Ref. 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acpyr_u2.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus tennentii","Günther, 1861"," M",native," Lieutenant surgeon (English)",,"31.00 cm TL male/unsexed ",,"Recorded from Bali and Pulau Weh (Ref. 47567). Also Ref. 37792.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acten_u7.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus thompsoni","(Fowler, 1923)"," M",native," Night surgeonfish (English)",,"27.00 cm TL male/unsexed ",,"Known from Flores. Also from Java and Sumatra (Ref. 1920, 47567). Also recorded from Raja Ampat Islands, Bali, Komodo, Manado and vicinity, Sangalakki Island, Togean and Banggai Islands; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Actho_u4.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus triostegus","(Linnaeus, 1758)"," M, Fi",native," Convict surgeon (English), Botana lorek (Malay), Kikida (Bajo), Convict tang (English)",,"27.00 cm TL male/unsexed ",,"Known from Bali (Ref. 8631, 47567); also from Java and Sumatra (Ref. 1920, 47567) and Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Maumere Bay, Komodo, Pulau Seribu, Togean and Banggai Islands; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Actri_u9.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus tristis","Randall, 1993"," M",native," Indian mimic surgeon (English)",,"25.00 cm TL male/unsexed ",,"Known from Mentawai Islands (Ref. 27157). Also recorded from Pulau Weh, Sumatra (Ref. 47567). Also Ref. 8631, 37792, 8940.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Actri_u3.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus xanthopterus","Valenciennes, 1835"," M, Fi",native," Yellow-mask surgeon (English), Malelah (Bajo), Kuu wadu (Palo)",,"70.00 cm TL male/unsexed ",,"Known from southwest Sumatra to Timor Sea (Ref. 5978, 47567) and Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Sangalakki Island, Togean and Banggai Islands; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Museum: LPPL JIF210 (TGT1034). Also Ref. 8631, 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acxan_u6.jpg"", ""Open image"")"
Acanthuridae,"Ctenochaetus binotatus","Randall, 1955"," M",native," Two-spot bristle-tooth (English), Dodoh (Bajo), Kuu (Palo)",,"22.00 cm TL male/unsexed ",,"Known from Molucca Islands (Ref. 5439) and Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Bali, Maumere Bay, Komodo, Manado and vicinity and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 37792, 1602.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ctbin_u0.jpg"", ""Open image"")"
Acanthuridae,"Ctenochaetus cyanocheilus","Randall & Clements, 2001"," M",native," Short-tail bristle-tooth (English)",,"16.00 cm SL male/unsexed ",,"Known from Flores, Wetar, and Manado, Sulawesi (Ref. 42056, 47567). Also Ref. 37792, 42056.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ctcya_u0.jpg"", ""Open image"")"
Acanthuridae,"Ctenochaetus striatus","(Quoy & Gaimard, 1825)"," M",native," Striped bristle-tooth (English), Dodoh loong (Bajo)",,"26.00 cm TL male/unsexed ",,"Known from Bali (Ref. 8631, 47567), Mentawai Islands (Ref. 27157), and Sumatra (Ref. 42056, 47567). Also recorded from Raja Ampat Islands, Maumere Bay, Komodo, Manado and vicinity and Sangalakki Island (Ref. 47567). Also Ref. 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ctstr_uf.jpg"", ""Open image"")"
Acanthuridae,"Ctenochaetus tominiensis","Randall, 1955"," M",native," Yellow-tip bristle-tooth (English)",,"16.00 cm SL male/unsexed ",,"Known from Bali and Sulawesi (Celebes) (Ref. 8631, 47567). Type specimens collected from Tomini, Sulawesi that were obtained using dynamite from the R/V 'ALBATROSS' in 1909 (Ref. 42056). Also recorded from Maumere Bay and Manado and vicinity; with an Indonesian distribution from Papua to Bali and Sulawesi (Ref. 47567). Also Ref. 37792, 1602.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cttom_u0.jpg"", ""Open image"")"
Acanthuridae,"Ctenochaetus truncatus","Randall & Clements, 2001"," M",native," Indian gold-ring bristle-tooth (English)",,"16.00 cm SL male/unsexed ",,"Recorded from Pulau Weh; with an Indonesian distribution from N Sumatra (Ref. 47567). Also Ref. 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cttru_u0.jpg"", ""Open image"")"
Acanthuridae,"Naso annulatus","(Quoy & Gaimard, 1825)"," M",native," White-margin unicorn (English)",,"100.00 cm TL male/unsexed ",,"Recorded from Raja Ampat Islands, Bali and Komodo; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 37792, 1602.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Naann_u6.jpg"", ""Open image"")"
Acanthuridae,"Naso brachycentron","(Valenciennes, 1835)"," M",native," Humpback unicorn (English), Kumai bukku (Bajo), Tui-tui bungku (Palo)",,"90.00 cm FL male/unsexed ",,"From southwest Sumatra to Timor Sea. Also recorded from Raja Ampat Islands, Manado and vicinity and Sangalakki Island; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Museum: LPPL JIF130 (TGT3175). Also Ref. 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Nabra_u5.jpg"", ""Open image"")"
Acanthuridae,"Naso brevirostris","(Cuvier, 1829)"," M",native," Spotted unicorn (English), Kumai (Bajo), Tui-tui mohute (Palo)",,"60.00 cm TL male/unsexed ",,"Recorded from Raja Ampat Islands, Bali, Maumere Bay, Komodo, Manado and vicinity, Pulau Seribu, Sangalakki Island, Togean and Banggai Islands and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 37792, 1602.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Nabre_u4.jpg"", ""Open image"")"
Acanthuridae,"Naso caeruleacauda","Randall, 1994"," M",native," Blue unicorn (English)",,"40.00 cm SL male/unsexed ",,"Based on Photo by J.E. Randall (Ref. 28620). Also Ref. 37792, 28620.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Nacae_u1.jpg"", ""Open image"")"
Acanthuridae,"Naso elegans","(Rüppell, 1829)"," M",native," Indian orange-spine unicorn (English)",,"45.00 cm SL male/unsexed ",,"Occurs in southwestern Indonesia, including Bali (Ref. 37792, 47567). Note that N. lituratus also occurs in Bali (Ref. 37792). Also recorded from Pulau Weh, Sumatra (Ref. 47567). Also Ref. 37792.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Naele_u2.jpg"", ""Open image"")"
Acanthuridae,"Naso fageni","Morrow, 1954"," M",native,,,"80.00 cm FL male/unsexed ",,"Known from Flores (Ref. 8631). Also Ref. 37792.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Nafag_u2.jpg"", ""Open image"")"
Acanthuridae,"Naso hexacanthus","(Bleeker, 1855)"," M, Fi, Sp",native," Sleek unicorn (English), Kumai belowis (Bajo), Tui-tui iba (Palo)",,"75.00 cm FL male/unsexed ",,"Known from Flores (Ref. 8631, 47567) and Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Bali, Komodo, Manado and vicinity, Sangalakki Island, Togean and Banggai Islands and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Nahex_u0.jpg"", ""Open image"")"
Acanthuridae,"Naso lituratus","(Forster, 1801)"," M",native," Pacific orange-spine unicorn (English), Naso (Malay), Kutiteh (Bajo), Orange spine surgeonfish (English), Ikan hitam (Malay), Tui-tui kangka (Palo)",,"46.00 cm SL male/unsexed ",,"Known from southwest Sumatra to Timor Sea (Ref. 5978, 47567); including Mentawai Islands (Ref. 27157). Note that N. elegans also occurs in Bali (Ref. 37792). Also recorded from Raja Ampat Islands, Manado and vicinity, Togean and Banggai Islands (Ref. 47567). Also Ref. 8631, 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Nalit_u9.jpg"", ""Open image"")"
Acanthuridae,"Naso lopezi","Herre, 1927"," M",native," Slender unicorn (English), Kumai belowis (Bajo), Tui-tui iba (Palo)",,"60.00 cm SL male/unsexed ",,"From southwest Sumatra to Bali Strait (Ref. 5978, 47567). Also recorded from Raja Ampat Islands, Manado and vicinity, Sangalakki Island, Togean and Banggai Islands; with an Indonesian distribution from Papua to Kalimantan (Ref. 47567). Also Ref. 8631, 37792, 1602.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Nalop_u2.jpg"", ""Open image"")"
Acanthuridae,"Naso mcdadei","Johnson, 2002"," M",native,,,"75.00 cm SL male/unsexed ",,"Known from the Mentawai Islands (Sumatra) (Ref. 37792). With an Indonesian distribution from Papua to Sumatra (Ref. 47567).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Namcd_u0.jpg"", ""Open image"")"
Acanthuridae,"Naso minor","(Smith, 1966)"," M",native," Little unicorn (English)",,"30.00 cm SL male/unsexed ",,"Recorded from Raja Ampat Islands, Bali, Maumere Bay, Togean and Banggai Islands (Ref. 47567). Museum: Lombok, BPBM 30035 (Ref. 10671). Also Ref. 37792, 4974.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Namin_u1.jpg"", ""Open image"")"
Acanthuridae,"Naso reticulatus","Randall, 2001"," M",native,,,"57.00 cm SL male/unsexed ",,"Known off southern Sumatra (Ref. 39638). Also Ref. 37792, 47567.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Naret_u2.jpg"", ""Open image"")"
Acanthuridae,"Naso thynnoides","(Cuvier, 1829)"," M",native," One-spine unicorn (English), Kumai belowis (Bajo), Tui-tui iba (Palo)",,"40.00 cm FL male/unsexed ",,"From southwest Sumatra to Timor Sea. Also recorded from Raja Ampat Islands, Manado and vicinity, Sangalakki Island, Togean and Banggai Islands; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Museum: RMNH 6346. Lombok, BPBM 30147 (Ref. 10671). Also Ref. 8631, 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Nathy_u4.jpg"", ""Open image"")"
Acanthuridae,"Naso tonganus","(Valenciennes, 1835)"," M",native," Kuli pasir (Malay)",,"60.00 cm SL male/unsexed ",,"From southwest Sumatra to Timor Sea. Also recorded from Togean and Banggai Islands (Ref. 47567). Museum: LPPl JIF133 (TGT2343). Also Ref. 37792.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Naton_u1.jpg"", ""Open image"")"
Acanthuridae,"Naso unicornis","(Forsskål, 1775)"," M, Sp",native," Blue-spine unicorn (English), Kumai tumbo (Bajo), Tui-tui sahi (Palo)",,"70.00 cm FL male/unsexed ",,"Known from southwest Sumatra to Timor Sea (Ref. 5978, 47567); including Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Manado and vicinity, Sangalakki Island, Togean and Banggai Islands; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 8631, 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Nauni_u0.jpg"", ""Open image"")"
Acanthuridae,"Naso vlamingii","(Valenciennes, 1835)"," M",native," Big-nose unicorn (English), Kumai (Bajo), Dakke (Palo)",,"60.00 cm TL male/unsexed ",,"Known from Bali (Ref. 8631, 47567) and Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Maumere Bay, Komodo, Sangalakki Island, Togean and Banggai Islands and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Navla_u8.jpg"", ""Open image"")"
Acanthuridae,"Paracanthurus hepatus","(Linnaeus, 1766)"," M",native," Blue surgeonfish (English), Leter enam (Malay), Blue tang (English), Leter enam kecil (Malay)",,"31.00 cm TL male/unsexed ",,"Recorded from Raja Ampat Islands, Bali, Maumere Bay, Komodo, Manado and vicinity, Sangalakki Island, Togean and Banggai Islands and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Based on Photo by J.E. Randall. Also Ref. 37792, 28620.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Pahep_ur.jpg"", ""Open image"")"
Acanthuridae,"Prionurus chrysurus","Randall, 2001"," M",native," Indonesian sawtail (English)",,"30.00 cm SL male/unsexed ",,"Known from Bali and Komodo (Ref. 41642; reported endemic (Ref. 47567). Recently from Nusa Penida which is characterized by cold upwelling (Ref. 82433). Also Ref. 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Prchr_u1.jpg"", ""Open image"")"
Acanthuridae,"Zebrasoma desjardinii","(Bennett, 1836)"," M",native," Indian sail-fin surgeonfish (English)",,"40.00 cm TL male/unsexed ",,"Recorded from Pulau Weh, Sumatra; with an Indonesian distribution from Java and W Sumatra (Ref. 47567). Also Ref. 37792.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Zedes_u7.jpg"", ""Open image"")"
Acanthuridae,"Zebrasoma scopas","(Cuvier, 1829)"," M",native," Cabeeh (Aceh), Burung laut (Bahasa Indonesia), Two-tone surgeonfish (English), Burung laut (Malay), Dodoh (Bajo), Blue-lined tang (English), Brown sailing tang (English), Kuu mohato (Palo)",,"40.00 cm SL male/unsexed ",,"Known from Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Bali, Maumere Bay, Komodo, Manado and vicinity, Pulau Bintan, Sangalakki Island, Togean and Banggai Islands and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 37792, 1602.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Zesco_u6.jpg"", ""Open image"")"
Acanthuridae,"Zebrasoma velifer","(Bloch, 1795)"," M",native," Pacific sail-fin surgeonfish (English), Kranjang bali (Malay), Pasific sailfin tang (English)",,"40.00 cm SL male/unsexed ",,"Known from Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Bali, Maumere Bay, Komodo, Manado and vicinity, Sangalakki Island, Togean and Banggai Islands; with an Indonesian distribution from Papua to Kalimantan (Ref. 47567). Also Ref. 37792, 1602.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Zevel_u1.jpg"", ""Open image"")"
Acropomatidae,"Acropoma japonicum","Günther, 1859"," M",misidentification,,,"8.10 cm SL male/unsexed ",,"Outside distributional range, probably referring to other species of Acropoma (Ref. 123726).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acjap_u4.jpg"", ""Open image"")"
Acropomatidae,"Acropoma musorstom","Okamoto, Randall & Motomura, 2021"," M",native,,,"14.30 cm SL male/unsexed ",,"Collected from the Molucca Islands (Ref. 123726).","No picture yet."
Acropomatidae,"Doederleinia berycoides","(Hilgendorf, 1879)"," M",native,,,"40.00 cm TL male/unsexed ",,"From southwest Sumatra and Java, the Arafura Sea, to Timor Sea (Ref. 76993). Museum: CSIRO CA346 (conspecific material).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dober_u1.jpg"", ""Open image"")"
Adrianichthyidae,"Adrianichthys kruyti","Weber, 1913"," Fr, Thr",endemic,,,"16.00 cm TL male/unsexed ",,"Known from Lake Poso in Sulawesi. Also Ref. 26747, 31267.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Adkru_m0.gif"", ""Open image"")"
Adrianichthyidae,"Adrianichthys oophorus","(Kottelat, 1990)"," Fr",endemic,,,"8.50 cm TL male/unsexed ",,"Known from Lake Poso in Sulawesi (Ref. 7050). Also Ref. 31267, 54508.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Adoop_f0.gif"", ""Open image"")"
Adrianichthyidae,"Adrianichthys poptae","(Weber & de Beaufort, 1922)"," Fr, Thr",endemic,,,"17.10 cm SL male/unsexed ",,"Known from Lake Poso in Sulawesi (Ref. 7050). Also Ref. 31267, 54508.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Adpop_m0.gif"", ""Open image"")"
Adrianichthyidae,"Adrianichthys roseni","Parenti & Soeroto, 2004"," Fr, Thr",endemic," Rosen's buntingi (English)",,"9.00 cm SL male/unsexed ",,"Known only from Lake Poso in Sulawesi Tengah (Ref. 54508).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Adros_f0.gif"", ""Open image"")"
Adrianichthyidae,"Oryzias asinua","Parenti, Hadiaty, Lumbantobing & Herder, 2013"," Fr",native," Asinua ricefish (English)",,"2.68 cm SL male/unsexed ",,"Known from Sungai Asinua in District of Asinua, Regency of Konawe, Sulawesi Tenggara (Ref. 94271).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Orasi_m0.jpg"", ""Open image"")"
